  0.1276	  1.9277	  0.0474	  0.0405	  0.0000
  0.2913	  1.9277	  0.0464	  0.0453	  0.0000
  0.4549	  1.9277	  0.0408	  0.0474	  0.0000
  0.6186	  1.9277	  0.0420	  0.0520	  0.0000
  0.7822	  1.9277	  0.0365	  0.0570	  0.0000
  0.9459	  1.9277	  0.0297	  0.0646	  0.0000
  1.1095	  1.9277	  0.0328	  0.0655	  0.0000
  1.2731	  1.9277	  0.0388	  0.0648	  0.0000
  1.4368	  1.9277	  0.0405	  0.0631	  0.0000
  1.6004	  1.9277	  0.0338	  0.0688	  0.0000
  1.7641	  1.9277	  0.0349	  0.0726	  0.0000
  1.9277	  1.9277	  0.0473	  0.0636	  0.0000
  2.0914	  1.9277	  0.0532	  0.0636	  0.0000
  2.2550	  1.9277	  0.0571	  0.0673	  0.0000
  2.4186	  1.9277	  0.0567	  0.0674	  0.0000
  2.5823	  1.9277	  0.0514	  0.0757	  0.0000
  2.7459	  1.9277	  0.0563	  0.0739	  0.0000
  2.9096	  1.9277	  0.0614	  0.0723	  0.0000
  3.0732	  1.9277	  0.0684	  0.0733	  0.0000
  3.2368	  1.9277	  0.0693	  0.0717	  0.0000
  3.4005	  1.9277	  0.0781	  0.0620	  0.0000
  3.5641	  1.9277	  0.0809	  0.0602	  0.0000
  3.7278	  1.9277	  0.0743	  0.0654	  0.0000
  3.8914	  1.9277	  0.0884	  0.0544	  0.0000
  4.0551	  1.9277	  0.0877	  0.0608	  0.0000
  4.2187	  1.9277	  0.0862	  0.0730	  0.0000
  4.3823	  1.9277	  0.0932	  0.0637	  0.0000
  4.5460	  1.9277	  0.1038	  0.0482	  0.0000
  4.7096	  1.9277	  0.1056	  0.0524	  0.0000
  4.8733	  1.9277	  0.1074	  0.0585	  0.0000
  5.0369	  1.9277	  0.1072	  0.0514	  0.0000
  5.2006	  1.9277	  0.1136	  0.0462	  0.0000
  5.3642	  1.9277	  0.1173	  0.0452	  0.0000
  5.5278	  1.9277	  0.1173	  0.0525	  0.0000
  5.6915	  1.9277	  0.1212	  0.0548	  0.0000
  5.8551	  1.9277	  0.1229	  0.0324	  0.0000
  6.0188	  1.9277	  0.1296	  0.0233	  0.0000
  6.1824	  1.9277	  0.1316	  0.0195	  0.0000
  6.3461	  1.9277	  0.1330	  0.0211	  0.0000
  6.5097	  1.9277	  0.1346	  0.0138	  0.0000
  6.6733	  1.9277	  0.1370	 -0.0000	  0.0000
  6.8370	  1.9277	  0.1352	 -0.0085	  0.0000
  7.0006	  1.9277	  0.1406	 -0.0113	  0.0000
  7.1643	  1.9277	  0.1378	 -0.0136	  0.0000
  7.3279	  1.9277	  0.1344	 -0.0232	  0.0000
  0.1276	  1.7641	  0.0416	  0.0516	  0.0000
  0.2913	  1.7641	  0.0417	  0.0500	  0.0000
  0.4549	  1.7641	  0.0412	  0.0499	  0.0000
  0.6186	  1.7641	  0.0450	  0.0547	  0.0000
  0.7822	  1.7641	  0.0423	  0.0537	  0.0000
  0.9459	  1.7641	  0.0305	  0.0657	  0.0000
  1.1095	  1.7641	  0.0345	  0.0667	  0.0000
  1.2731	  1.7641	  0.0160	  0.0866	  0.0000
  1.4368	  1.7641	  0.0131	  0.0885	  0.0000
  1.6004	  1.7641	  0.0229	  0.0820	  0.0000
  1.7641	  1.7641	  0.0293	  0.0756	  0.0000
  1.9277	  1.7641	  0.0485	  0.0734	  0.0000
  2.0914	  1.7641	  0.0588	  0.0645	  0.0000
  2.2550	  1.7641	  0.0566	  0.0723	  0.0000
  2.4186	  1.7641	  0.0451	  0.0797	  0.0000
  2.5823	  1.7641	  0.0531	  0.0770	  0.0000
  2.7459	  1.7641	  0.0618	  0.0756	  0.0000
  2.9096	  1.7641	  0.0572	  0.0810	  0.0000
  3.0732	  1.7641	  0.0567	  0.0809	  0.0000
  3.2368	  1.7641	  0.0816	  0.0582	  0.0000
  3.4005	  1.7641	  0.0656	  0.0774	  0.0000
  3.5641	  1.7641	  0.0839	  0.0676	  0.0000
  3.7278	  1.7641	  0.0781	  0.0746	  0.0000
  3.8914	  1.7641	  0.0805	  0.0657	  0.0000
  4.0551	  1.7641	  0.0847	  0.0728	  0.0000
  4.2187	  1.7641	  0.0933	  0.0653	  0.0000
  4.3823	  1.7641	  0.0969	  0.0651	  0.0000
  4.5460	  1.7641	  0.1030	  0.0623	  0.0000
  4.7096	  1.7641	  0.1071	  0.0661	  0.0000
  4.8733	  1.7641	  0.1103	  0.0631	  0.0000
  5.0369	  1.7641	  0.1127	  0.0553	  0.0000
  5.2006	  1.7641	  0.1164	  0.0541	  0.0000
